"SATV" "SATM" "FRGPA" "HSGPA" "SEX" "GR6"
"1" 530 660 3.09 3.86 "M" "Y"
"2" 560 440 1.66 3 "M" "N"
"3" 520 570 1.97 3.47 "M" "N"
"4" 630 600 2.4 3.29 "M" "Y"
"5" 520 570 1.01 3.25 "M" "N"
"6" 340 500 0.71 3.4 "M" "N"
"7" 630 520 2.8 3.78 "M" "Y"
"8" 580 530 1.78 3.43 "M" "N"
"9" 400 530 2.87 4 "M" "Y"
"10" 430 440 2.17 3.43 "M" "N"
"11" 420 580 2.47 3.5 "M" "N"
"12" 460 510 1.61 3.86 "M" "N"
"13" 520 550 2.82 3.21 "M" "Y"
"14" 660 570 3.29 4 "M" "Y"
"15" 450 530 3.3 3.38 "M" "Y"
"16" 610 650 3.46 3.75 "M" "Y"
"17" 530 530 2.98 3.21 "M" "Y"
"18" 370 500 1.69 3.33 "M" "N"
"19" 430 500 2.53 3.64 "M" "N"
"20" 440 540 2.73 3.29 "M" "Y"
"21" 440 560 1.3 3.21 "M" "N"
"22" 470 420 2.09 4 "M" "N"
"23" 650 600 2.42 3.07 "M" "Y"
"24" 460 480 1.14 3.07 "M" "N"
"25" 550 700 2.49 3.46 "M" "Y"
"26" 640 640 2.72 3.53 "M" "N"
"27" 460 370 2.91 3.14 "M" "Y"
"28" 470 620 3.2 3.71 "M" "Y"
"29" 560 580 2.11 3.21 "M" "N"
"30" 480 550 2.69 3.88 "M" "Y"
"31" 450 350 2.17 3.3 "F" "N"
"32" 570 700 3.18 3.94 "F" "Y"
"33" 400 270 1.99 3.75 "F" "Y"
"34" 550 350 2.94 3.23 "F" "N"
"35" 620 470 2.84 3.38 "F" "Y"
"36" 450 440 2.87 3.83 "F" "Y"
"37" 670 550 3.04 3.25 "F" "Y"
"38" 530 640 3.15 4 "F" "Y"
"39" 750 580 3.19 3.87 "F" "Y"
"40" 590 650 2.78 3.89 "F" "Y"
"41" 530 380 2.97 3.21 "F" "Y"
"42" 410 590 2.74 3.71 "F" "Y"
"43" 420 450 2.54 3.44 "F" "Y"
"44" 660 560 3.42 3.93 "F" "Y"
"45" 520 630 2.59 3.8 "F" "N"
"46" 360 370 2.35 3.5 "F" "N"
"47" 520 430 2.42 3.94 "F" "N"
"48" 560 470 3 3.5 "F" "Y"
"49" 450 560 2.86 3.38 "F" "Y"
"50" 500 350 1.19 3.17 "F" "N"
